drug1,drug2,text,label
Fluconazole,Venglustat,"Venglustat steady-state area under the concentration-time curve during a dosing interval following coadministration with moderate (fluconazole) CYP3A inhibitors is predicted to increase by 1.52- (1st-99th centile, 1.23-1.88)",1
Fluvoxamine,Venglustat,"Venglustat steady-state area under the concentration-time curve during a dosing interval following coadministration with weak (fluvoxamine) CYP3A inhibitors is predicted to increase by 1.08- (5th-95th centile, 1.03-1.15)",1
Cimetidine,Venglustat,"Venglustat steady-state area under the concentration-time curve during a dosing interval following coadministration with weak (cimetidine) CYP3A inhibitors is predicted to increase by 1.08-fold (5th-95th centile, 1.04-1.12)",1
Atazanavir,Total serum bilirubin,Atazanavir has been reported to increase total serum bilirubin level up to ninefold.,1
Atazanavir,UGT1A1,It is widely believed that the observed total bilirubin elevation is primarily due to UGT1A1 inhibition.,0
Atazanavir,OATP1B1/3,As atazanavir is a potent OATP1B1/3 inhibitor...,1
Atazanavir,Unconjugated bilirubin,...the hepatic uptake of both unconjugated and conjugated bilirubin are mediated by OATP1B1/3...,1
Raltegravir,Unconjugated bilirubin,...unconjugated bilirubin is less sensitive than raltegravir upon UGT1A1 inhibition...,1
Rifampicin,Triazolam,reduction of triazolam plasma concentrations and an increase in its metabolites after oral administration,1
Ketoconazole,Triazolam,increase in triazolam plasma concentrations and a decrease in its metabolites in huCYP3A-PXR rats regardless of pretreatment with rifampicin,1
Lopinavir/Ritonavir,Dexamethasone,"Typical oral clearance (CL/F) was 131 L/h, reduced to 11.5 L/h with concomitant lopinavir/ritonavir.",1
CYP2D6-inhibiting drugs,beta-blockers,"Newly initiated beta-blocker therapy (any type) with concomitant use of CYP2D6-inhibiting drugs (any type) was associated with an increased risk of fall injury (OR 1.37, 1.24-1.52).",1
CYP2D6 inhibitors,beta-blockers,"This risk became elevated after restriction to concomitant use of moderate (OR 1.63, 1.26-2.10) or strong CYP2D6 inhibitors (OR 2.25, 1.39-3.63).",1
"biologics (adalimumab, etanercept, ustekinumab)",methotrexate,"The drug-drug interaction analysis indicated that these biologics, particularly without methotrexate or prednisolone, increase the risk of abortion-related AEs.",1
"biologics (adalimumab, etanercept, ustekinumab)",prednisolone,"The drug-drug interaction analysis indicated that these biologics, particularly without methotrexate or prednisolone, increase the risk of abortion-related AEs.",1
dupilumab,none specified,"The drug-drug interaction analysis indicated that these biologics, particularly without methotrexate or prednisolone, increase the risk of abortion-related AEs.",1
enzalutamide,diltiazem,Resources recommend avoiding the combination of enzalutamide and diltiazem.,1
SHR8554,itraconazole,a strong CYP3A4 inhibitor,0
Tirzepatide,HCTZ (Hydrochlorothiazide),This case highlights a potential association between HCTZ and tirzepatide in causing severe hypercalcemia.,1
Tirzepatide,Thiazides (general class),Baseline and follow-up serum calcium monitoring is strongly recommended within 1-2 weeks of initiating tirzepatide in patients receiving thiazide diuretics or those with CKD.,1
TMZ,IMT,TMZ and IMT combined regimens were subadditive in 36.1% of the combinations.,1
Itraconazole,Tepotinib,Itraconazole increased tepotinib area under the curve extrapolated to infinity (AUC0-∞) by 2.5-fold.,1
Carbamazepine,Tepotinib,"The effect of carbamazepine on the pharmacokinetics of tepotinib was not explicitly stated, but it is mentioned as a strong CYP3A4/P-gp inducer.",1
Vitamin K antagonists,Proton pump inhibitors (PPIs),"We found association between hemorrhage in patients receiving vitamin K antagonists (OR 1.30, 95% CI 1.16-1.47).",1
Vitamin K antagonists,All types of interacting drugs,All types of interactions resulted in higher bleeding risk for all anticoagulants.,1
Proton pump inhibitors (PPIs),Cerebral bleeding,"OR 1.18, 95% CI 1.08-1.30",1
Proton pump inhibitors (PPIs),Gastrointestinal bleeding,"OR 0.55, 95% CI 0.46-0.65",1
Itraconazole,Tazemetostat,Itraconazole coadministration resulted in higher tazemetostat exposures after single doses (Day 21/Day 1) and steady state (Day 36/Day 15).,1
Rifampin,Tazemetostat,"it is implied that rifampin increases tazemetostat metabolism, but this is not explicitly stated. However, it is mentioned that rifampin is a strong CYP3A inducer.",1
fentanyl,naloxone,naloxone attenuated respiratory depression,1
fentanyl,rimonabant,rimonabant attenuated respiratory depression,1
naloxone,rimonabant,"co-administration of fentanyl and the SCRAs exacerbated respiratory depression and conferred resistance to naloxone rescue, most likely via pharmacodynamic interactions between μ-opioid and CB1 cannabinoid receptors",1
fentanyl,5F-ADB-PINACA,co-administration of fentanyl and the SCRAs exacerbated respiratory depression,1
RBN-3143,pantoprazole,"an open-label, randomized, 3-period, cross-over study evaluated the effects of food and pantoprazole (40 mg once daily [QD]) on the pharmacokinetics of RBN-3143",1
RBN-3143,midazolam,a pharmacokinetic drug-drug interaction study with oral midazolam (2 mg) determined whether RBN-3143 (300 mg BID for 14 days) is an inducer of cytochrome P4503A4 (CYP3A4),1
vactosertib,cytarabine,Pretreatment with vactosertib unexpectedly induced complete resistance to cytarabine.,1
vactosertib,SLC29A1 (ENT1),"Our findings revealed that TGFBR1 inhibitors unintentionally target the nucleoside transporter SLC29A1 (ENT1), leading to reduced intracellular cytarabine levels.",1
midostaurin,SLC29A1 (ENT1),"Importantly, we found that this drug interaction is not unique to TGFBR1 inhibitors, but extends to other clinically significant kinase inhibitors, such as the FLT3 inhibitor midostaurin.",1
DOACs,atorvastatin/simvastatin,Similar patterns were also observed for cardiovascular mortality and all-cause mortality,0
DOACs,simvastatin,ORs for gastrointestinal bleeding and other bleeding among those initiating DOACs while taking simvastatin were greater than those initiating DOAC monotherapy,0
Cela (celastrol),Trip (triptolide),...FXR inhibition by Cela potentiated the ET-1 increase and activation of JNK-Caspase3-GSDME by Trip.,1
Cela (celastrol),FXR agonists,...Activation of intestinal FXR alleviated liver injury via down-regulating ET-1 and improving GVB integrity.,1
Cela (celastrol),FXR antagonists,...Activation of intestinal FXR alleviated liver injury via down-regulating ET-1 and improving GVB integrity.,1
Cela (celastrol),ET-1 inhibitors,...Activation of intestinal FXR alleviated liver injury via down-regulating ET-1 and improving GVB integrity.,1
Trip (triptolide),FXR knockout mice,...FXR knockout significantly aggravated liver injury induced by Trip.,1
Xuefu Zhuyu Decoction (XFZY),Atorvastatin (AT),"Pharmacokinetic analysis in rats shows that continuous administration of XFZY does not significantly change the pharmacokinetic characteristics of AT in rats, but the AUC_(0-6 h) values of AT and metabolites 2-HAT, 4-HAT, and 2-HATL increase by 21.37%, 14.94%, 12.42%, and 6.68%, respectively.",0
Tizanidine,Nifedipine,The synergistic effects of tizanidine and nifedipine resulted in a rapid and critical drop in blood pressure.,1
Tacrolimus,Trastuzumab emtansine (T-DM1),We have experienced a 2.3-fold increase in the trough concentration of orally administered tacrolimus in a patient for 7 days after intravenous administration of trastuzumab emtansine (T-DM1),1
Tacrolimus,Trastuzumab (Tmab),the change in the trough concentration of tacrolimus was reversed after switching T-DM1 to trastuzumab (Tmab),1
Trastuzumab emtansine (T-DM1),Tacrolimus,An animal study in rats showed that T-DM1 significantly increased the AUC of tacrolimus,1
bupropion,clozapine,Clozapine (CYP2D6 substrate) plasma levels decreasing and the discontinuation of bupropion (CYP2D6 inhibitor),1
AKR1C1/1C2 inhibitors,diazepam,"PXR-mediated CYP3A4 induction was significantly attenuated by treatment with AKR1C1/1C2 inhibitors, diazepam or flunitrazepam...",1
AKR1C1/1C2 inhibitors,flunitrazepam,"PXR-mediated CYP3A4 induction was significantly attenuated by treatment with AKR1C1/1C2 inhibitors, diazepam or flunitrazepam...",1
AKR1C1/1C2 inhibitors,rifampicin,Rifampicin-activated CYP3A4 induction was attenuated by AKR1C1/1C2 knockdown...,1
ciclosporin,OATP1B substrates,"The pDDI rate varied significantly depending on the inhibitor used, reaching up to 39.1% in patients treated with ciclosporin.",1
clarithromycin,OATP1B substrates,Commonly involved inhibitors included FDA drugs such as clarithromycin...,1
rifampicin,OATP1B substrates,Commonly involved inhibitors included FDA drugs such as rifampicin...,1
denosumab,iron infusions,"close administration of both can result in profound hypocalcaemia and/or hypophosphataemia due to disruption of calcium, phosphate and bone remodelling homeostasis",1
Goldenseal,Metformin,"The goldenseal-metformin interaction mediated under therapeutic metformin dose conditions involves a low-affinity basolateral transporter, ThTr-1, which accounts for approximately 50% of inhibitable metformin apical to basolateral flux.",1
ribociclib,proton pump inhibitors,"Among these agents, ribociclib has been associated with a higher risk of QTc prolongation and CYP3A4-mediated interactions in some studies",1
ribociclib,CYP3A4 substrates,Their metabolism via the cytochrome P450 (CYP3A4) pathway poses a high risk of clinically relevant drug-drug interactions (DDIs),1
abemaciclib,antifungal medications,"We further examine the clinical implications of drug-drug interactions with frequently co-prescribed agents, including proton pump inhibitors, antifungal medications, anticoagulants, and lipid-lowering therapies",1
abemaciclib,lipid-lowering therapies,"We further examine the clinical implications of drug-drug interactions with frequently co-prescribed agents, including proton pump inhibitors, antifungal medications, anticoagulants, and lipid-lowering therapies",1
palbociclib,CYP3A4 substrates,Their metabolism via the cytochrome P450 (CYP3A4) pathway poses a high risk of clinically relevant drug-drug interactions (DDIs),1
enzyme-inducing antiseizure medications (ASMs),lacosamide (LCM),"The use of enzyme-inducing ASMs (ie, phenytoin, phenobarbital, or carbamazepine) reduced the CD ratio by 34.0% in preschool children, 27.3% in primary school children, 24.3% in adolescents, and 27.4% in adults.",1
lacosamide (LCM),CYP2C19 polymorphism,"In addition, patients with the PM phenotype have a high LCM CD ratio, which may decrease treatment retention.",1
Bemnifosbuvir,Ruzasvir,"Under fasted conditions, the corresponding values for ruzasvir were decreased upon coadministration with bemnifosbuvir (by a maximum of 26% vs ruzasvir alone)",1
Bemnifosbuvir,Food,Food delayed peak exposure to both drugs (by up to 2 hours) while increasing their peak and total exposure by up to 63%,1
Red Yeast Rice,Oncological Medication,The clinically relevant HDIs concerned red yeast rice...,1
Red Coneflower,Oncological Medication,"The clinically relevant HDIs concerned red yeast rice, red coneflower...",1
Turmeric,Oncological Medication,"The clinically relevant HDIs concerned red yeast rice, red coneflower, turmeric...",1
Cannabis,Oncological Medication,"The clinically relevant HDIs concerned red yeast rice, red coneflower, turmeric, and cannabis...",1
CYP2D6 inhibitors,CYP2D6 substrates,The CYP 2D6 enzyme is particularly prone to DDGIs due to the high prevalence of genetic variation and common use of CYP2D6 inhibiting drugs.,1
CYP3A4,CYP2D6 substrates,DD(G)Is mediated by CYP3A4 and P-glycoprotein were included.,0
P-glycoprotein,CYP2D6 substrates,DD(G)Is mediated by CYP3A4 and P-glycoprotein were included.,1
Atomoxetine (sensitive CYP2D6 substrate),CYP2D6 inhibitors,The presented network was utilized to calculate dose adaptations for CYP2D6 substrates atomoxetine (sensitive) and metoprolol (moderate sensitive) for clinically untested DDGI scenarios...,1
Metoprolol (moderate sensitive CYP2D6 substrate),CYP2D6 inhibitors,The presented network was utilized to calculate dose adaptations for CYP2D6 substrates atomoxetine (sensitive) and metoprolol (moderate sensitive) for clinically untested DDGI scenarios...,1
itraconazole,omaveloxolone,Coadministration of the strong CYP3A4 inhibitor itraconazole significantly increased omaveloxolone maximum plasma concentration (Cmax),1
nirmatrelvir/ritonavir (PAXLOVID),tacrolimus,the patient presented with clinical and biological parameters consistent with a tacrolimus overdose,1
remdesivir (VEKLURY),tacrolimus,management of DDI between tacrolimus and anti-SARS-CoV-2 drugs requires a substantial therapeutic intervention,1
cinnamon oil,CYP2C9,Both cinnamon oil and cinnamaldehyde inhibited the catalytic activity of CYP2C9...,0
cinnamon oil,CYP1A2,Both cinnamon oil and cinnamaldehyde inhibited the catalytic activity of CYP1A2.,0
cinnamaldehyde,CYP2C9,Both cinnamon oil and cinnamaldehyde inhibited the catalytic activity of CYP2C9...,0
cinnamaldehyde,CYP1A2,Both cinnamon oil and cinnamaldehyde inhibited the catalytic activity of CYP1A2.,0
LTG,LEV/VPA,Signals for malformation associated with LTG + LEV/VPA,1
CBZ,lacosamide/LTG,DDI signals CBZ + lacosamide/LTG,1
VPA,clonazepam,Associated with fetal loss: VPA + clonazepam,1
Mallotus furetianus ethanol extract (MFE),midazolam,"Collectively, our study indicated that MFE could modulate CYP3A1 activity and expression of CYP3A1, subsequently changing the metabolism of midazolam in rats.",1
Mallotus furetianus ethanol extract (MFE),CYP3A inhibitors,"The activity of CYP3A was measured in hepatic and intestinal microsomes, and the expression in hepatic and intestinal tissues was assessed by qRT-PCR and western blot.",1
Dexmedetomidine,Lactated Ringer's solution,"Several possible DDIs were identified, including Lactated Ringer's solution (lift = 5.441), which may elevate bradycardia risk.",1
Dexmedetomidine,Bupivacaine,"Several possible DDIs were identified, including bupivacaine (lift = 2.984), which may elevate bradycardia risk.",1
Dexmedetomidine,Risperidone,"Several possible DDIs were identified, including risperidone (lift = 2.434), which may elevate bradycardia risk.",1
amiodarone,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 2.65)",1
digoxin,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 1.85)",1
diltiazem,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 1.44)",1
clarithromycin,non-vitamin K oral anticoagulants,"associated with increased hospitalization for major bleeding (HR, 4.18)",1
fluconazole,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 3.27)",1
verapamil,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 1.80)",1
antidepressants,non-vitamin K oral anticoagulants,"associated with increased all-cause mortality (HR, 1.31)",1
dronedarone,non-vitamin K oral anticoagulants,"associated with a significant reduction in all-cause mortality (HR, 0.56)",1
atorvastatin,non-vitamin K oral anticoagulants,"associated with a significant reduction in all-cause mortality (HR, 0.86)",1
cabozantinib,mitoxantrone,"c-MET inhibitors enhanced the accumulation of mitoxantrone, with accumulation ratios ranging from 1.6 to 3.8",1
crizotinib,mitoxantrone,"c-MET inhibitors enhanced the accumulation of mitoxantrone, with accumulation ratios ranging from 1.6 to 3.8",1
PHA665752,mitoxantrone,"c-MET inhibitors enhanced the accumulation of mitoxantrone, with accumulation ratios ranging from 1.6 to 3.8",1
Letermovir,Ciclosporin A (CsA),"These changes were attributed to CYP3A4 inhibition by letermovir, given the stable no-to-mild inflammatory status and the lack of additional DDI.",1
Amiodarone,DOACs (Direct Oral Anticoagulants),"Among DOAC patients, there was a statistically significant increase in major bleeding with concurrent amiodarone (OR 1.22, 95% confidence interval (CI) 1.03-1.44, P = 0.02, I2 = 88%).",1
Itraconazole,Apixaban,"Two major bleed events, three VTE, two stroke, and eight instances of clot resolution were identified.",1
Posaconazole,Apixaban,"Two major bleed events, three VTE, two stroke, and eight instances of clot resolution were identified.",1
probenecid,CP-I (Coproporphyrin-I),"Prediction of weak, moderate, and strong OATP1B-mediated interactions with probenecid...",1
low-dose cyclosporine,CP-I (Coproporphyrin-I),"Prediction of weak, moderate, and strong OATP1B-mediated interactions with low-dose cyclosporine...",1
rifampicin,CP-I (Coproporphyrin-I),"Prediction of weak, moderate, and strong OATP1B-mediated interactions with rifampicin...",1
colchicine,VKAs (Vitamin-K Antagonists),In vitro studies and case reports have described a possible interaction between colchicine and VKAs leading to increased INR,1
Apotransferrin,Meropenem,The combination of apotransferrin with meropenem activity improved in 10/20 isolates compared to antibiotic monotherapy.,0
Apotransferrin,Ceftolozane/Tazobactam (C/T),"The chemostat model confirmed synergistic interactions between apotransferrin and C/T in two isolates, with additive effects in two others.",0
Apotransferrin,Meropenem or Ceftolozane/Tazobactam (C/T),"This combination outperformed the most effective monotherapy in all isolates, with no emergence of new C/T-resistant strains.",0
venlafaxine,tamoxifen,The addition of venlafaxine during tamoxifen treatment decreases plasma Z-endoxifen concentrations.,1
citalopram,tamoxifen,The addition of citalopram during tamoxifen treatment decreases plasma Z-endoxifen concentrations.,1
venlafaxine,Z-endoxifen,A reduction in Z-endoxifen concentrations below the 5.9 ng/ml threshold associated with tamoxifen efficacy was observed in 12% of patients.,1
citalopram,Z-endoxifen,A reduction in Z-endoxifen concentrations below the 5.9 ng/ml threshold associated with tamoxifen efficacy was observed in 12% of patients.,1
gabapentin,tamoxifen,The addition of gabapentin during tamoxifen treatment does not significantly alter plasma concentrations of tamoxifen and its metabolites.,1
probenecid,PDA (Pyridoxic acid),"using in vitro inhibition potency data, the model predicted effect of OAT inhibitors (probenecid, ritlecitinib and tafamidis) on PDA pharmacokinetics",1
ritlecitinib,PDA (Pyridoxic acid),"using in vitro inhibition potency data, the model predicted effect of OAT inhibitors (probenecid, ritlecitinib and tafamidis) on PDA pharmacokinetics",1
tafamidis,PDA (Pyridoxic acid),"using in vitro inhibition potency data, the model predicted effect of OAT inhibitors (probenecid, ritlecitinib and tafamidis) on PDA pharmacokinetics",1
furosemide,PDA (Pyridoxic acid),"DDIs with OAT3 object drug, furosemide, were well-predicted by the biomarker-informed PBPK model",1
DOACs,digoxin,A higher risk of all-cause mortality (hazard ratio: 1.35; 99% confidence interval [CI]: 1.14-1.61) was observed with DOAC + digoxin versus DOAC + beta-blockers.,0
digoxin,DOACs,"In the case-crossover study, a 24% higher odds of all-cause mortality was seen with initiating digoxin while taking DOAC (odds ratio: 1.24; 99% CI: 1.06-1.45); and a 63% higher odds was also seen with initiating DOAC while taking digoxin (odds ratio: 1.63; 99% CI: 1.41-1.88).",0
Rifampicin,Atazanavir/Ritonavir,reduced drug exposure in plasma due to rifampicin,1
Dolutegravir,Rifampicin,the intracellular effects remained unexplored when dolutegravir was added with rifampicin (PK2),1
Atazanavir/Ritonavir,Dolutegravir,the intracellular effects remained unexplored when dolutegravir was added with atazanavir/ritonavir (PK2),1
Ritonavir,Atazanavir,Ritonavir-boosted atazanavir,1
Rifampicin,Investigational drugs,Rifampicin is a widely employed index inhibitor to assess the impact of organic anion transporting polypeptide 1B (OATP1B) inhibition on investigational drugs.,1
Cyclosporine,Other drug disposition mechanisms,challenges exist in its use due to pharmacokinetic (PK) variability and non-selective inhibition of other drug disposition mechanisms.,1
nirmatrelvir-ritonavir,dexamethasone,drugs with DDI risk at the avoidance level mainly included dexamethasone,1
nirmatrelvir-ritonavir,rivaroxaban,drugs with DDI risk at the avoidance level mainly included rivaroxaban,1
nirmatrelvir-ritonavir,lidocaine,drugs at the caution level mainly included lidocaine,1
Proton-pump inhibitors (PPIs),Dasatinib,Particularly comedication of crystalline dasatinib and proton-pump inhibitors (PPIs) should be avoided.,1
Omeprazole,Dasatinib,The dosing interval between omeprazole administration and crystalline dasatinib was 10 h (median [range: 9-10 h]).,1
nirmatrelvir/ritonavir,intravenous midazolam,A meaningful interaction persists for 72 h following cessation of nirmatrelvir/ritonavir.,1
UGT inhibitors,non-CYP enzymes,drugs that inhibit non-CYP enzymes are significantly associated with high DILI concern,1
pure UGT inhibitors,high DILI concern,"only pure UGT inhibitors and dual substrate inhibitors, but not pure UGT substrates, are significantly associated with high DILI concern",1
dual substrate inhibitors,high DILI concern,"only pure UGT inhibitors and dual substrate inhibitors, but not pure UGT substrates, are significantly associated with high DILI concern",1
colistin,ceftazidime,The results showed significantly higher ARF risk for colistin combinations with ceftazidime...,1
colistin,vancomycin,The results showed significantly higher ARF risk for colistin combinations with vancomycin...,1
colistin,meropenem,The results showed significantly higher ARF risk for colistin combinations with meropenem...,1
colistin,tigecycline,The results showed significantly higher ARF risk for colistin combinations with tigecycline...,1
Prednisolone,Diclofenac,Neither cassette dosing in the normal group nor discrete dosing in the arthritic group affected the pharmacokinetics (PK) of diclofenac.,1
Prednisolone,Methotrexate,"Further, the metabolism of methotrexate increased when combined with prednisolone.",1
Diclofenac,Methotrexate,The serum concentration of methotrexate increased when it was combined with diclofenac.,1
itraconazole,vincristine,The highest signal strengths for ileus were with itraconazole.,1
posaconazole,vincristine,"AEs associated with concomitant use of triazole antifungal drugs and vincristine were identified through retrospective analysis of 42 clinical case reports, of which itraconazole, posaconazole, and voriconazole were involved in 66.7%, 28.6%, and 4.8% of cases, respectively.",1
voriconazole,vincristine,"AEs associated with concomitant use of triazole antifungal drugs and vincristine were identified through retrospective analysis of 42 clinical case reports, of which itraconazole, posaconazole, and voriconazole were involved in 66.7%, 28.6%, and 4.8% of cases, respectively.",1
fluconazole,vincristine,"The FAERS database indicated that neurological and gastrointestinal systems were most commonly involved systems when combined use triazole antifungals and vincristine, with ileus being the most frequently reported AE.",1
+)-borneol,Retigabine (RTG),These results demonstrate that (+)-borneol enhances the antiseizure effects of RTG by both pharmacokinetic and pharmacodynamic interaction.,1
+)-borneol,KCNQ2 channels,(+)-borneol inhibited the KCNQ2 current at 100 µM,1
sofosbuvir/velpatasvir (SOF/VEL),comedications,"The DDI risk was present in 59.3% (277) of the SOF/VEL group and 51.5% (3,542) of the GLE/PIB group.",0
glecaprevir/pibrentasvir (GLE/PIB),comedications,In contrast with the 1.7% (115) in the GLE/PIB group who were identified as 'contraindication (red)'.,0
ritonavir,nirmatrelvir-ritonavir,"Ritonavir, a cytochrome P450 (CYP) CYP3A4 inhibitor, poses a risk of significant drug-drug interactions.",1
verapamil,nirmatrelvir-ritonavir,"Following fluid resuscitation, blood pressure support with norepinephrine, and calcium therapy for verapamil toxicity...",1
First-generation AEDs,"DOACs (Dabigatran, Rivaroxaban, Apixaban)","Compared with control AEDs, first-generation AEDs were associated with increased odds of reporting outcomes (reporting odds ratio {ROR}: 1.79, 95% confidence interval {CI}: 1.52-2.10, p<0.0001).",1
First-generation AEDs,DOACs (Edoxaban),"Compared with control AEDs, first-generation AEDs were associated with increased odds of reporting outcomes (reporting odds ratio {ROR}: 1.79, 95% confidence interval {CI}: 1.52-2.10, p<0.0001).",1
Dabigatran,None specified,"Dabigatran was associated with increased reporting of outcome (ROR: 1.74, 95% CI: 1.26-2.39).",1
Rivaroxaban,None specified,"Rivaroxaban was associated with increased reporting of outcome (ROR: 1.58, 95% CI: 1.24-2.02).",1
Apixaban,None specified,"Apixaban was associated with increased reporting of outcome (ROR: 2.07, 95% CI: 1.48-2.90).",1
DOAC,amiodarone,The DOAC PEff patients were significantly older and with more concurrent use of amiodarone.,0
DOAC,warfarin,"Logistic regression identified the following factors associated with moderately large or large PEff: DOAC (OR: 2.28; 95% CI: 1.19-4.37), warfarin (OR: 5.50; 95% CI: 1.88-16.06)",0
mefloquine,fluvoxamine,"Simulated mefloquine exposures increased by 88% when an interaction with fluvoxamine, a CYP1A2 inhibitor was modeled.",1
mefloquine,CYP1A2 inducers (heavy smoking),"Modeling showed that heavy smoking, and subsequent induction of CYP1A2, had a notable effect on mefloquine exposure.",1
mefloquine,CYP1A2 poor metabolizers (genotype status),The CYP1A2 genotype status also influenced mefloquine exposure with a predicted AUC ratio of 1.68 in a simulated population of CYP1A2 poor metabolizers.,1
remifentanil,CNS7054 (metabolite of remimazolam),"Remifentanil reduced the apparent clearance of CNS7054 with a half-maximum inhibition at 8.0 ng/ml (95% CI, 5.5 to 13.4 ng/ml)",1
remimazolam,remifentanil,A pharmacodynamic interaction was detected on all endpoints.,1
ticagrelor,rosuvastatin,"Our results suggest an important pharmacokinetic interaction between ticagrelor and rosuvastatin, leading to approximately two-fold higher rosuvastatin plasma concentrations in those receiving concomitant ticagrelor than in those receiving prasugrel or clopidogrel",1
DOACs,"CYP3A4/P-gp inducers (carbamazepine, phenobarbital, phenytoin)","Case reports (n = 6) indicated that antiepileptic drugs such as carbamazepine, phenobarbital and phenytoin may be associated with thromboembolic events",0
DOACs,"CYP3A4- and/or P-gp inducers (carbamazepine, phenobarbital, phenytoin)",Present literature indicates a higher thromboembolic risk in patients on DOAC treatment combining CYP3A4- and/or P-gp inducers,0
DOACs,Edoxaban,Limited evidence suggests that edoxaban may be an acceptable option in case of DOAC and CYP3A4/P-gp inducer interactions,0
Letermovir,Azole antifungals,Concomitant use of letermovir and azole antifungals affects tacrolimus concentration.,1
Letermovir,Fluconazole,"Therefore, in HCT recipients taking fluconazole, letermovir may affect the optimal tacrolimus conversion ratios...",1
ceftazidime/avibactam,tigecycline,"Our study reveals that the antagonistic interaction between ceftazidime/avibactam and tigecycline can undermine ceftazidime/avibactam's efficacy, suggesting limited clinical benefit in combining these antibiotics.",1
olanzapine,paracetamol,CSF entry of paracetamol increased following co-treatment with olanzapine.,1
lamotrigine,paracetamol-sulfate,transfer of paracetamol-sulfate increased with lamotrigine co-administration,1
Sotorasib,Digoxin,"Coadministration of digoxin with a single dose of sotorasib increased digoxin area under the concentration-time curve from time 0 extrapolated to infinity and maximum observed plasma concentration by factors of 1.21 and 1.91, respectively, compared with digoxin alone.",1
Sotorasib,P-glycoprotein transporter,In vitro studies suggested that sotorasib is a weak inhibitor of P-glycoprotein transporter.,1
Digoxin,P-glycoprotein transporter,Digoxin is a known substrate for P-glycoprotein.,1
Ritonavir,Cytochrome P450 enzymes,Ritonavir is a potent inhibitor of cytochrome P450 enzymes causing numerous drug-drug interactions (DDIs).,1
Paxlovid (nirmatrelvir and ritonavir),Cytochrome P450 enzymes,Ritonavir is a potent inhibitor of cytochrome P450 enzymes causing numerous drug-drug interactions (DDIs).,1
Paxlovid (nirmatrelvir and ritonavir),Other drugs,"A total of 313 DDIs were recorded in 114 (81.4%) patients, with severe interactions in 24 (17%) patients.",1
Paxlovid (nirmatrelvir and ritonavir),Severe renal impairment,"In 3 (2.1%) patients, Paxlovid® was prescribed despite being contraindicated due to severe renal impairment.",1
simvastatin,SLCO1B1 c.521 T > C variant,"For simvastatin, the DPWG recommends choosing an alternative in homozygotes for these gene variant",1
atorvastatin,SLCO1B1 c.521 T > C variant,"For atorvastatin, the DPWG recommends to preferably choose an alternative in carriers of this gene variant having additional risk factors for myopathy.",1
rosuvastatin,SLCO1B1 c.521 T > C variant,"For rosuvastatin, the DPWG recommends keeping the dose as low as possible in carriers of this gene variant with additional risk factors.",1
fluvastatin,SLCO1B1 c.521 T > C variant,No therapy adjustment is required for fluvastatin and pravastatin in carriers of this gene variant.,1
pravastatin,SLCO1B1 c.521 T > C variant,No therapy adjustment is required for fluvastatin and pravastatin in carriers of this gene variant.,1
glibenclamide,CYP2C9 gene variants,Although CYP2C9 gene variants may lead to increased levels of glibenclamide,1
gliclazide,CYP2C9 gene variants,Although CYP2C9 gene variants may lead to increased levels of glibenclamide,1
glimepiride,CYP2C9 gene variants,Although CYP2C9 gene variants may lead to increased levels of glibenclamide,1
tolbutamide,CYP2C9 gene variants,Although CYP2C9 gene variants may lead to increased levels of glibenclamide,1
methadone,ciprofloxacin,methadone-ciprofloxacin-respiratory depression,1
oxycodone,fluvoxamine,oxycodone-fluvoxamine-clonus,1
tramadol,fluconazole,tramadol-fluconazole-hallucination,1
simvastatin,fluconazole,simvastatin-fluconazole-rhabdomyolysis,1
ibrutinib,amiodarone,ibrutinib-amiodarone-atrial fibrillation,1
fentanyl,diltiazem,fentanyl-diltiazem-delirium,1
clarithromycin,voriconazole,clarithromycin-voriconazole-acute kidney injury,1
colchicine,cyclosporine,colchicine-cyclosporine-rhabdomyolysis,1
methadone,voriconazole,methadone-voriconazole-arrhythmia,1
Meropenem (MEPM),Valproic acid (VPA),"Total plasma concentration of VPA before carbapenem use was 53.61 mg/L, whereas it was 45.42 mg/L during carbapenem use.",1
Dordaviprone (ONC201),Rabeprazole,Six of the 16 participants reported treatment-emergent adverse events (TEAEs); dordaviprone-related TEAEs were reported by three participants and were limited to mild nausea and dizziness.,1
fluvoxamine,fezolinetant,Fluvoxamine 50 mg was administered as a single dose on Days 3 and 10 and twice daily from Days 4 to 9. Fluvoxamine increased geometric mean ratio of fezolinetant maximum plasma concentrations (Cmax) by 2.5-fold compared with Day 1.,1
smoking,fezolinetant,"The clinical impact of CYP1A2 inhibition and induction on single-dose pharmacokinetics of fezolinetant was assessed in an open-label, single-sequence, phase 1 study in healthy postmenopausal women, where the impact of fluvoxamine, a strong CYP1A2 inhibitor, and smoking, a moderate CYP1A2 inducer...",1
Itraconazole,Tacrolimus,the tacrolimus dose was reduced by 60% upon itraconazole initiation to maintain the target concentration,1
Rifampicin,Nevirapine,"Rifampicin, a strong CYP3A4 inducer and moderate CYP2B6 inducer...",1
